,Date,To_Date,Predict_values
704,2014-06-15,2014-06-22,0
705,2014-06-22,2014-06-29,0
706,2014-06-29,2014-07-06,0
707,2014-07-06,2014-07-13,0
708,2014-07-13,2014-07-20,0
709,2014-07-20,2014-07-27,1
710,2014-07-27,2014-08-03,1
711,2014-08-03,2014-08-10,1
712,2014-08-10,2014-08-17,1
713,2014-08-17,2014-08-24,1
714,2014-08-24,2014-08-31,1
715,2014-08-31,2014-09-07,1
716,2014-09-07,2014-09-14,1
717,2014-09-14,2014-09-21,1
718,2014-09-21,2014-09-28,1
719,2014-09-28,2014-10-05,1
720,2014-10-05,2014-10-12,1
721,2014-10-12,2014-10-19,1
722,2014-10-19,2014-10-26,1
723,2014-10-26,2014-11-02,1
724,2014-11-02,2014-11-09,1
725,2014-11-09,2014-11-16,1
726,2014-11-16,2014-11-23,1
727,2014-11-23,2014-11-30,1
728,2014-11-30,2014-12-07,1
729,2014-12-07,2014-12-14,1
730,2014-12-14,2014-12-21,0
731,2014-12-21,2014-12-28,1
732,2014-12-28,2015-01-04,1
733,2015-01-04,2015-01-11,1
734,2015-01-11,2015-01-18,1
735,2015-01-18,2015-01-25,1
736,2015-01-25,2015-02-01,1
737,2015-02-01,2015-02-08,0
738,2015-02-08,2015-02-15,0
739,2015-02-15,2015-02-22,0
740,2015-02-22,2015-03-01,0
741,2015-03-01,2015-03-08,1
742,2015-03-08,2015-03-15,1
743,2015-03-15,2015-03-22,1
744,2015-03-22,2015-03-29,0
745,2015-03-29,2015-04-05,0
746,2015-04-05,2015-04-12,0
747,2015-04-12,2015-04-19,1
748,2015-04-19,2015-04-26,0
749,2015-04-26,2015-05-03,0
750,2015-05-03,2015-05-10,0
751,2015-05-10,2015-05-17,0
752,2015-05-17,2015-05-24,0
753,2015-05-24,2015-05-31,1
754,2015-05-31,2015-06-07,1
755,2015-06-07,2015-06-14,1
756,2015-06-14,2015-06-21,0
757,2015-06-21,2015-06-28,0
758,2015-06-28,2015-07-05,0
759,2015-07-05,2015-07-12,1
760,2015-07-12,2015-07-19,1
761,2015-07-19,2015-07-26,1
762,2015-07-26,2015-08-02,1
763,2015-08-02,2015-08-09,0
764,2015-08-09,2015-08-16,1
765,2015-08-16,2015-08-23,0
766,2015-08-23,2015-08-30,0
767,2015-08-30,2015-09-06,1
768,2015-09-06,2015-09-13,1
769,2015-09-13,2015-09-20,0
770,2015-09-20,2015-09-27,0
771,2015-09-27,2015-10-04,1
772,2015-10-04,2015-10-11,1
773,2015-10-11,2015-10-18,0
